Metric;rf_equipo_tot;KNN_equipo_tot;glm_equipo_tot;RANGER_equipo_tot;rf_fecha_tot;KNN_fecha_tot;glm_fecha_tot;ranger_fecha_tot;rfdico_equipo_tot;GLM_equipo_dic_equipo_tot;KNN_dic_equipo_tot;RANGER_dico_equipo_tot;RF_fecha_dic_tot;GLM_fecha_dic_tot;ran_fecha_dic_tot;KNN_fecha_dic_tot;rf_dico_matrix_tot;KNN_dico_matrix_tot;GLM_dico_matrix_tot;RANGER_dico_matrix_dico;rf_matrix_total;GLM_matrix_total;knn_matrix_total;RANGER_matrix_tot;RF_equipo_dico_carga;GLM_equipo_dic_carga;KNN_equipo_dic;Ranger_equipo_dich_carga;RANGER_fecha_dic_carga;RF_fecha_dic_carga;GLM_fecha_dic_carga;KNN_fecha_dic_carga;RF_equipo_carga;KNN_equipo_carga;GLM_equipo_carga;Ranger_equipo_carga;Ranger_FECHA_carga;RF_fecha_carga;KNN_fecha_carga;GLM_fecha_carga;RF_matrix_carga;GLM_matrix_carga;KNN_matrix_carga;RANGER_matrix_carga;RFd_carga;KNNd_carga;GLMd_carga;Ranger_matrix_dich_carga;rf_equipo_covid;KNN_covid_equipo;GLM_covid_equipo;RANGER_equipo_covid;RANGER_fecha_covid;RF_fecha_covid.x;KNN_fecha_covid.x;GLM_fecha_covid.x;rf_dico_equipo;GLM_dico_equipo_covid;KNN_dico_equipo_covid;ranger_equipo_dico_covid;Ranger_fecha_covid_dico;RF_fecha_dico_covid;GLM_fecha_dic_covid;KNN_fecha_dic_covid;RFd_matrix_covid;KNNd_matrix_dico;GLMd_matrix_covid;Ranger_matrix_dich_covid;RF_fecha_covid.y;GLM_fecha_covid.y;KNN_fecha_covid.y;Ranger_matrix_covid;RF_equipo_dic_cc;GLM_equipo_dic_cc;KNN_equipo_dic_cc;Ranger_equipo_dich_cc;Ranger_FECHA_dich_cc;RF_fecha_dic_cc;GLM_fecha_dic_cc;KNN_fecha_dic_cc;RF_equipo_cc;KNN_equipo_cc;GLM_equipo_cc;Ranger_equipo_cc;Ranger_FECHA_cc;RF_fecha_cc;KNN_fecha_cc;GLM_fecha_cc;RFd_matrix_cc;KNNd_matrix_cc;GLMd_matrix_cc;Ranger_matrix_dich_cc;RF_matrix_cc;GLM_matrix_cc;KNN_MATRIX_cc;RANGER_matrix_cc
LR+;3.837;2.878;7.674;3.728;2.606;1.716;1.573;NA;2.763;2.257;2.388;1.896;1.535;1.364;1.995;1.001;2.302;1.876;2.302;1.653;3.837;3.837;6.651;2.412;0;0.694;1.457;0;1.214;0.347;0.607;0;NA;0;NA;NA;NA;NA;0;NA;6.786;2.714;2.714;NA;0;2.286;1.524;0;9.231;1.154;NA;5.385;1;1.902;1.039;2.238;2.394;2.394;1.323;2.346;2.462;2.393;1.538;2.378;2.857;1.846;2.098;7.692;6.154;2.238;1.357;10.769;NA;3.048;NA;NA;NA;1.143;0.571;2.286;NA;NA;NA;NA;NA;NA;0;NA;NA;9.143;3.048;NA;NA;NA;NA;NA
LR-;0.716;0.741;0.897;0.676;0.649;0.719;0.896;1;0.685;0.564;0.48;0.689;0.856;0.863;0.822;0.999;0.711;0.672;0.711;0.84;0.716;0.911;0.731;0.714;1.172;1.079;0.921;1.133;0.987;1.169;1.121;1.03;1;1.097;1;1;1;1;1.03;1;0.679;0.905;0.905;0.821;1.032;0.816;0.946;1.032;0.86;0.944;0.974;0.849;NA;0.805;0.966;0.722;0.823;0.823;0.857;0.882;0.867;0.754;0.865;0.691;0.755;0.831;0.754;0.769;0.822;0.722;0.859;0.834;0.857;0.788;0.643;1;1;0.99;1.061;0.959;0.929;0.929;1;1;1;1;1.032;1;0.786;0.737;0.788;0.857;0.929;1;0.929;1
AUC;0.733;0.738;0.616;0.778;0.654;0.633;0.529;0.5;0.686;0.702;0.682;0.685;0.554;0.562;0.587;0.542;0.5;0.5;0.676;0.657;0.674;0.642;0.749;0.673;0.558;0.546;0.612;0.603;0.546;0.418;0.553;0.541;0.504;0.557;0.5;0.679;0.5;0.497;0.459;0.5;0.672;0.655;0.719;0.64;0.621;0.5;0.707;0.647;0.569;0.521;0.513;0.573;0.5;0.642;0.561;0.59;0.578;0.471;0.557;0.56;0.629;0.6;0.567;0.65;0.5;0.5;0.482;0.583;0.646;0.59;0.624;0.615;0.711;0.721;0.779;0.5;0.739;0.71;0.625;0.703;0.642;0.621;0.634;0.743;0.679;0.702;0.496;0.654;0.5;0.5;0.487;0.723;0.663;0.634;0.621;0.624
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Metric;rf_equipo_tot;KNN_equipo_tot;RANGER_equipo_tot;rf_fecha_tot;rfdico_equipo_tot;GLM_equipo_dic_equipo_tot;KNN_dic_equipo_tot;RANGER_dico_equipo_tot;rf_matrix_total;knn_matrix_total;RF_matrix_carga;RF_equipo_dic_cc;GLM_equipo_dic_cc;KNN_equipo_dic_cc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Accuracy;0.688;0.67;0.697;0.664;0.679;0.679;0.697;0.642;0.688;0.697;0.697;0.739;0.717;0.804;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kappa;0.283;0.248;0.313;0.298;0.284;0.325;0.374;0.236;0.283;0.288;0.329;0.188;0.223;0.436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AUC;0.733;0.738;0.778;0.654;0.686;0.702;0.682;0.685;0.674;0.749;0.672;0.711;0.721;0.779;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Metric;RANGER_equipo_tot;KNN_dic_equipo_tot;RF_matrix_carga;KNN_equipo_dic_cc;rf_matrix_total;rf_equipo_tot;rf_fecha_tot;Ranger_matrix_dich_cc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Accuracy;0.697;0.697;0.697;0.804;0.688;0.688;0.664;0.739;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kappa;0.313;0.374;0.329;0.436;0.283;0.283;0.298;0.188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AUC;0.778;0.682;0.672;0.779;0.674;0.733;0.654;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ciego_tot_equipo;ciego_tot_equipo_knn;ciego_matrix_carga;ciego_knn_equipo_dic_cc;ciego_tot_equipo_matrix;ciego_rf_tot_equipo;ciego_tot_fecha;ciego_ranger_matrix_cc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0.5668;0.5;0.9874;0.4545;0.6363;0.5786;0.9784;0.5772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
